ID,開催回,区分,問題番号,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
24,2024年度,午前,問題 24,解剖学,手根骨において、近位列にあるのはどれか。,大多角骨,小多角骨,有頭骨,舟状骨,4,近位列は舟状骨、月状骨、三角骨、豆状骨です。
25,2024年度,午前,問題 25,解剖学,肘関節を構成しない骨はどれか。,上腕骨,橈骨,尺骨,舟状骨,4,舟状骨は手根骨（手首）の骨です。
26,2024年度,午前,問題 26,解剖学,大腿四頭筋に含まれないのはどれか。,大腿直筋,外側広筋,内側広筋,大腿二頭筋,4,大腿二頭筋はハムストリングス（太もも裏）です。
27,2024年度,午前,問題 27,解剖学,喉頭蓋軟骨の組織分類はどれか。,硝子軟骨,弾性軟骨,線維軟骨,骨組織,2,喉頭蓋軟骨は弾力性のある弾性軟骨です。
28,2024年度,午前,問題 28,解剖学,右肺について正しいのはどれか。,2 葉である,3 葉である,心切痕がある,左肺より小さい,2,右肺は3葉、左肺は2葉です。
29,2024年度,午前,問題 29,解剖学,食道の生理的狭窄部はどれか。,食道開始部,気管分岐部,横隔膜貫通部,すべて含まれる,4,食道にはこれら3か所の狭窄部があります。
30,2024年度,午前,問題 30,解剖学,胃の構造において、十二指腸につながる部分はどれか。,噴門,胃底,胃体,幽門,4,出口側が幽門、入口側が噴門です。
31,2024年度,午前,問題 31,解剖学,小腸において、腸間膜を持たないのはどれか。,十二指腸,空腸,回腸,すべて持たない,1,十二指腸は腹膜後器官であり、腸間膜を持ちません。
32,2024年度,午前,問題 32,解剖学,腎臓の構造において、尿が最初に注ぎ込まれるのはどれか。,腎盤,腎杯,腎盂,尿管,2,集合管を通った尿は、まず腎杯に注ぎ込まれます。
33,2024年度,午前,問題 33,解剖学,心臓の構造において、僧帽弁はどこにあるか。,右房室間,左房室間,右室動脈間,左室動脈間,2,左心房と左心室の間にあるのが僧帽弁です。
34,2024年度,午前,問題 34,解剖学,腹大動脈から直接分岐する対をなす枝はどれか。,腹腔動脈,上腸間膜動脈,腎動脈,下腸間膜動脈,3,腎動脈は左右一対の枝として分岐します。
35,2024年度,午前,問題 35,解剖学,内分泌器官において、甲状腺の裏面に位置するのはどれか。,下垂体,上皮小体,副腎,膵臓,2,甲状腺の裏側には上皮小体（副甲状腺）があります。
36,2024年度,午前,問題 36,解剖学,運動性言語中枢（ブローカ野）があるのはどれか。,前頭葉,頭頂葉,側頭葉,後頭葉,1,ブローカ野は前頭葉、ウェルニッケ野は側頭葉です。
37,2024年度,午前,問題 37,解剖学,脳神経において、副交感神経成分を含むのはどれか。,嗅神経,視神経,動眼神経,三叉神経,3,動眼神経、顔面神経、舌咽神経、迷走神経が含みます。
38,2024年度,午前,問題 38,解剖学,脊髄神経において、腕神経叢を構成するのはどれか。,C1-C4,C5-T1,T2-T12,L1-L4,2,腕神経叢は第5頸神経〜第1胸神経から成ります。
39,2024年度,午前,問題 39,解剖学,感覚器において、味覚を感知するのはどれか。,パチニ小体,味蕾,マイスネル小体,コルチ器,2,舌の表面などにある味蕾が受容器です。
40,2024年度,午前,問題 40,解剖学,平衡感覚を司る受容器があるのはどれか。,半規管,蝸牛,鼓膜,耳小骨,1,内耳の半規管や前庭が平衡感覚を司ります。
41,2024年度,午前,問題 41,生理学,細胞膜の構造について正しいのはどれか。,リン脂質二重層,タンパク質不含,糖鎖は内面,疎水基は外面,1,細胞膜はリン脂質二重層の構造を持ちます。
42,2024年度,午前,問題 42,生理学,活動電位の立ち上がり（脱分極）に関与するのはどれか。,K+の流入,Na+の流入,Ca2+の流出,Mg2+の流出,2,ナトリウムイオンの急激な流入で脱分極します。
43,2024年度,午前,問題 43,生理学,血漿浸透圧の維持に最も寄与するのはどれか。,赤血球,白血球,アルブミン,ガンマグロブリン,3,アルブミンが膠質浸透圧の維持に重要です。
44,2024年度,午前,問題 44,生理学,心臓の自動能の歩調取り（ペースメーカー）はどれか。,房室結節,プルキンエ線維,洞房結節,ヒス束,3,洞房結節が心臓のリズムを作ります。
45,2024年度,午前,問題 45,生理学,心周期において、すべての弁が閉じている時期はどれか。,等容性収縮期,駆出期,充満期,心房収縮期,1,等容性収縮期と等容性弛緩期は全弁閉鎖します。
46,2024年度,午前,問題 46,生理学,安静吸息時に働く主な筋はどれか。,腹直筋,内肋間筋,横隔膜,大胸筋,3,安静吸気は横隔膜と外肋間筋で行われます。
47,2024年度,午前,問題 47,生理学,酸素解離曲線が右方にシフトする要因はどれか。,温度の低下,pH の上昇,CO2分圧の上昇,"2,3-DPG減少",3,二酸化炭素分圧上昇や温度上昇で右シフトします。
48,2024年度,午前,問題 48,生理学,消化管ホルモンで、胃酸分泌を促進するのはどれか。,セクレチン,ガストリン,コレシストキニン,ソマトスタチン,2,ガストリンは強力に胃酸分泌を促進します。
49,2024年度,午前,問題 49,生理学,基礎代謝量が最も高くなるのはどれか。,冬季,夏季,睡眠時,飢餓時,1,体温維持に熱が必要な冬季に高くなります。
50,2024年度,午前,問題 50,生理学,尿の生成で、再吸収が行われない部位はどれか。,近位尿細管,ヘンレループ,遠位尿細管,糸球体,4,糸球体は濾過の場であり、再吸収はしません。
51,2024年度,午前,問題 51,生理学,血中カルシウム濃度を低下させるホルモンはどれか。,パラソルモン,カルシトニン,アルドステロン,サイロキシン,2,カルシトニンは血中カルシウムを下げます。
52,2024年度,午前,問題 52,生理学,副腎皮質から分泌されるのはどれか。,アドレナリン,ノルアドレナリン,コルチゾール,ドーパミン,3,副腎皮質からは糖質コルチコイドが分泌されます。
53,2024年度,午前,問題 53,生理学,排卵を誘発するホルモンはどれか。,エストロゲン,プロゲステロン,黄体形成ホルモン,卵胞刺激ホルモン,3,LHサージが排卵を誘発します。
54,2024年度,午前,問題 54,生理学,シナプス伝達の特徴について正しいのはどれか。,両方向性,電気的伝達が主,疲労しやすい,伝導より速い,3,シナプス伝達は化学物質を使うため疲労します。
55,2024年度,午前,問題 55,生理学,屈曲反射（逃避反射）の受容器はどれか。,筋紡錘,腱紡錘,傷害受容器,パチニ小体,3,痛みなどの傷害受容器（ポリモーダル等）が関与。
56,2024年度,午前,問題 56,生理学,節前線維が節後線維より長いのはどれか。,交感神経,副交感神経,体性神経,感覚神経,2,副交感神経は節前線維が長い特徴があります。
57,2024年度,午前,問題 57,生理学,小脳の機能に含まれないのはどれか。,平衡の維持,筋緊張の調節,随意運動の調節,自律神経の統合,4,自律神経の統合中枢は視床下部です。
58,2024年度,午前,問題 58,生理学,感覚の適応が最も早いのはどれか.,痛覚,温度覚,触覚,内臓覚,3,触覚は非常に適応が早い感覚です。
59,2024年度,午前,問題 59,生理学,視覚において、暗所での視覚を司るのはどれか。,錐体細胞,桿体細胞,双極細胞,水平細胞,2,桿体細胞が暗所での明暗を司ります。
60,2024年度,午前,問題 60,生理学,聴覚の受容器があるのはどれか。,前庭,半規管,コルチ器,鼓膜,3,蝸牛内のコルチ器が音の受容器です。
61,2024年度,午前,問題 61,病理学,骨折によるギプス固定で起こる萎縮はどれか。,生理的萎縮,圧迫萎縮,廃用性萎縮,内分泌性萎縮,3,使わないことによる萎縮を廃用性萎縮と言います。
62,2024年度,午前,問題 62,病理学,細胞死のうち、周囲に炎症を伴うのはどれか。,アポトーシス,壊死,融解,乾酪壊死,2,ネクローシス（壊死）は炎症を伴います。
63,2024年度,午前,問題 63,病理学,うっ血の結果として起こるのはどれか。,チアノーゼ,虚血,梗塞,浮腫,1,静脈血の停滞によりチアノーゼが起こります。
64,2024年度,午前,問題 64,病理学,血栓症の要因（ウィルヒョウの三要素）でないのは。,内皮の損傷,血流の停滞,成分の変化,血管の拡張,4,内皮損傷、血流停滞、血液性状の変化が三要素。
65,2024年度,午前,問題 65,病理学,炎症の 5 徴に含まれないのはどれか。,発赤,疼痛,蒼白,機能障害,3,5徴は発赤、熱感、腫脹、疼痛、機能障害です。
66,2024年度,午前,問題 66,病理学,肉芽組織の構成要素でないのはどれか。,毛細血管,線維芽細胞,炎症細胞,癌細胞,4,肉芽は修復組織であり、癌細胞は含みません。
67,2024年度,午前,問題 67,病理学,アレルギー反応において、IgE が関与する型はどれか。,I 型,II 型,III 型,IV 型,1,I型（即時型）アレルギーに関与します。
68,2024年度,午前,問題 68,病理学,悪性腫瘍の特徴として正しいのはどれか。,増殖が遅い,膨張性に増殖,転移を起こす,分化度が高い,3,転移を起こすのが悪性腫瘍の大きな特徴です。
69,2024年度,午前,問題 69,病理学,胃癌が卵巣へ転移することを何というか。,播種,シュニッツラー,クルーケンベルグ,血行性転移,3,腹膜播種による卵巣への転移を指します。
70,2024年度,午前,問題 70,病理学,21 番染色体のトリソミーによるのはどれか。,ターナー,クラインフェルター,ダウン症候群,猫なき症候群,3,21番染色体が3本あるのがダウン症候群です。
71,2024年度,午前,問題 71,臨床医学総論,普通の呼びかけで目を覚ます意識障害のJCSは。,JCS 1,JCS 2,JCS 10,JCS 20,3,JCS 10は普通の呼びかけで開眼します。
72,2024年度,午前,問題 72,臨床医学総論,バイタルサインに含まれないのはどれか。,意識状態,呼吸,血圧,脈拍,1,バイタルは呼吸、体温、血圧、脈拍です。
73,2024年度,午前,問題 73,臨床医学総論,黄疸の原因となる血中物質はどれか。,尿素窒素,ビリルビン,ヘモグロビン,アルブミン,2,ビリルビンの上昇が黄疸を引き起こします。
74,2024年度,午前,問題 74,臨床医学総論,ばち指が見られる疾患はどれか。,鉄欠乏性貧連,肺癌,肝硬変,ネフローゼ,2,慢性的低酸素でばち指が見られます。
75,2024年度,午前,問題 75,臨床医学総論,腹部の打診において濁音を呈するのはどれか。,胃,肝臓,小腸,大腸,2,実質臓器である肝臓は濁音を呈します。
76,2024年度,午前,問題 76,臨床医学総論,深部反射はどれか。,角膜反射,腹壁反射,アキレス腱反射,足底反射,3,アキレス腱反射は深部反射（腱反射）です。
77,2024年度,午前,問題 77,臨床医学総論,バビンスキー反射が陽性の場合に考えられるのは。,末梢神経障害,錐体路障害,小脳障害,基底核障害,2,錐体路障害で見られる病的反射です。
78,2024年度,午前,問題 78,臨床医学総論,髄膜刺激症状はどれか。,ロンベルグ,項部硬直,マックバーニー,バビンスキー,2,項部硬直は髄膜炎などの刺激症状です。
79,2024年度,午前,問題 79,臨床医学総論,超音波検査が適さないのはどれか.,肝臓,胆嚢,肺,腎臓,3,空気を含む肺はエコーが通りにくいです。
80,2024年度,午前,問題 80,臨床医学総論,心房の脱分極（興奮）を示す心電図の波はどれか。,P 波,QRS 波,T 波,U 波,1,P波が心房の興奮を表します。
81,2024年度,午前,問題 81,臨床医学総論,顔面神経麻痺の症状として正しいのはどれか。,額のしわ寄せ不可,眼球を外転不可,舌後の味覚消失,咀嚼筋の麻痺,1,麻痺側の額のしわ寄せができなくなります。
82,2024年度,午前,問題 82,臨床医学総論,チアノーゼが出現しやすい部位はどれか。,手掌,口唇,腹部,大腿,2,粘膜に近い口唇などは観察しやすいです。
83,2024年度,午前,問題 83,臨床医学総論,腹部で押さえた手を急に離した時に痛むのを何というか。,反跳痛,圧痛,関連痛,放散痛,1,反跳痛は腹膜炎などの徴候です。
84,2024年度,午前,問題 84,臨床医学総論,血圧測定においてマンシェットを巻く位置は。,手首,上腕,前腕,大腿,2,心臓と同じ高さの上腕で測定します。
85,2024年度,午前,問題 85,臨床医学総論,低血糖の症状として適切でないのはどれか。,冷や汗,動悸,空腹感,多尿,4,多尿は高血糖（糖尿病）の症状です。
86,2024年度,午前,問題 86,臨床医学総論,パーキンソン病の 4 大症状に含まれないのは。,安静時振戦,筋固縮,無動,意図振戦,4,意図振戦は小脳性疾患の特徴です。
87,2024年度,午前,問題 87,臨床医学総論,関節リウマチの特徴的な症状はどれか。,朝のこわばり,ヘバーデン結節,DIP関節の侵襲,痛風発作,1,朝の30分以上のこわばりが特徴です。
88,2024年度,午前,問題 88,臨床医学総論,バセドウ病の症状でないのはどれか。,眼球突出,頻脈,体重増加,手指振戦,3,代謝が亢進するため体重は減少します。
89,2024年度,午前,問題 89,臨床医学総論,貧血の症状として正しいのはどれか。,スプーン状爪,顔面紅潮,徐脈,多尿,1,鉄欠乏性貧血でスプーン状爪が見られます。
90,2024年度,午前,問題 90,臨床医学総論,左心不全症状はどれか。,下腿浮腫,肝腫大,夜間呼吸困難,頸静脈怒張,3,肺うっ血による呼吸困難が特徴です。
91,2024年度,午前,問題 91,臨床医学各論,おたふくかぜの合併症で注意すべきなのは。,肺炎,髄膜炎,心内膜炎,腎盂腎炎,2,無菌性髄膜炎を合併しやすいです。
92,2024年度,午前,問題 92,臨床医学各論,シェーグレン症候群の主症状はどれか。,口内乾燥,レイノー現象,蝶形紅斑,ヘリオトロープ,1,唾液腺や涙腺の分泌低下が起こります。
93,2024年度,午前,問題 93,臨床医学各論,全身性エリテマトーデス（SLE）に特徴的な皮膚症状は。,紫斑,蝶形紅斑,浮腫,色素沈着,2,顔面の蝶形紅斑が非常に特徴的です。
94,2024年度,午前,問題 94,臨床医学各論,痛風の急性発作時に上昇する血中成分は。,尿素窒素,尿酸,コレステロール,中性脂肪,2,高尿酸血症が痛風発作の原因です。
95,2024年度,午前,問題 95,臨床医学各論,ALSにおいて陰性症状（侵されないもの）はどれか。,筋力低下,感覚障害,構音障害,嚥下障害,2,感覚障害はALSの4大陰性症状の一つ。
96,2024年度,午前,問題 96,臨床医学各論,重症筋無力症の症状について正しいのはどれか。,夕方に悪化,安静時振戦,知覚障害,小脳性歩行,1,使用により疲労し、夕方に悪化します。
97,2024年度,午前,問題 97,臨床医学各論,クッシング症候群に見られる特徴的な体形はどれか。,やせ型,中心性肥満,四肢の肥満,低身長,2,バッファローハンプや中心性肥満が特徴。
98,2024年度,午前,問題 98,臨床医学各論,気管支喘息の発作時に見られる呼吸音はどれか。,捻髪音,水泡音,笛音,正常呼吸音,3,呼気時にヒューヒューという笛音。
99,2024年度,午前,問題 99,臨床医学各論,心筋梗塞の心電図変化で特徴的なのはどれか。,P波の消失,STの上昇,QRS幅短縮,U波の出現,2,急性期のST上昇が大きな特徴です。
100,2024年度,午前,問題 100,臨床医学各論,僧帽弁狭窄症の合併症として注意が必要なのは。,脳梗塞,肺気腫,気胸,オスラー結節,1,心房細動による血栓症で脳梗塞を招く。
101,2024年度,午前,問題 101,臨床医学各論,慢性糸球体腎炎の原因で最も多いのはどれか。,膜性腎症,IgA腎症,溶連菌感染,微小変化型,2,日本ではIgA腎症が最多です。
102,2024年度,午前,問題 102,臨床医学各論,慢性腎不全で見られる血液検査所見はどれか。,高カルシウム,低カリウム,代謝性アシドーシス,BUNの低下,3,腎機能低下でアシドーシスを呈します。
103,2024年度,午前,問題 103,臨床医学各論,肝硬変について正しいのはどれか。,汎血球減少,安静時振戦,クモ状血管腫,B型肝炎が最多,3,門脈圧亢進等により血管腫が見られます。
104,2024年度,午前,問題 104,臨床医学各論,急性膵炎の原因として男性で最も多いのはどれか。,飲酒,高血圧,運動不足,胆石,1,男性はアルコール、女性は胆石が多い。
105,2024年度,午前,問題 105,臨床医学各論,胆石症について正しいのはどれか。,やせ型に多い,胆嚢癌に関与,コレステロール石最多,ビリルビン石最多,3,欧米化によりコレステロール石が最多。
106,2024年度,午前,問題 106,臨床医学各論,大腸癌について正しいのはどれか.,S状・直腸に多い,早期発見困難,肝転移は稀,痛みが初発,1,直腸とS状結腸が好発部位です。
107,2024年度,午前,問題 107,臨床医学各論,胃潰瘍の症状として正しいのはどれか。,食後の上腹部痛,空腹時の痛み,多尿,体重増加,1,胃潰瘍は食後、十二指腸は空腹時痛。
108,2024年度,午前,問題 108,臨床医学各論,鉄欠乏性貧血の原因で多いのはどれか。,ビタミンB12欠乏,月経や消化管出血,溶血,骨髄の低下,2,出血による鉄の喪失が原因として多い。
109,2024年度,午前,問題 109,臨床医学各論,特発性血小板減少性紫斑病（ITP）で見られるのは。,凝固時間延長,出血時間延長,白血球数増加,ヘモグロビン減少,2,血小板減少により出血時間が延長。
110,2024年度,午前,問題 110,臨床医学各論,急性骨髄性白血病の症状でないのはどれか。,貧血,発熱,出血傾向,関節変形,4,白血病の主症状は貧血、発熱、出血。
111,2024年度,午後,問題 1,リハビリテーション医学,リハビリテーションの語源として誤っているのはどれか。,身体機能の正常化,権利の再獲得,名誉の回復,復権,1,リハビリテーションは「再びふさわしい状態にする」復権や名誉回復を指します。
112,2024年度,午後,問題 2,リハビリテーション医学,障害の階層構造（ICIDH）において、社会的不利益はどれか。,下肢の切断,歩行困難,就職の制限,失語,3,社会的不利益は、障害により社会活動が制限されることを指します。
113,2024年度,午後,問題 3,リハビリテーション医学,国際生活機能分類（ICF）において、環境因子はどれか。,年齢,性格,バリアフリーの建物,性別,3,建物や人的サポートなどは環境因子、年齢や性格は個人因子です。
114,2024年度,午後,問題 4,リハビリテーション医学,医療リハビリテーションの専門職でないのはどれか。,理学療法士,作業療法士,言語聴覚士,ケアマネジャー,4,ケアマネジャーは介護保険制度に関わる職種です。
115,2024年度,午後,問題 5,リハビリテーション医学,ADL（日常生活動作）の評価法はどれか。,FIM,JCS,GCS,MMT,1,FIM（機能的自立度評価法）はADLを介助量で評価する手法です。
116,2024年度,午後,問題 6,リハビリテーション医学,ROM測定において、肘関節屈曲の基本軸はどれか。,上腕骨,橈骨,尺骨,肩峰,1,肘関節屈曲の基本軸は上腕骨、移動軸は橈骨です。
117,2024年度,午後,問題 7,リハビリテーション医学,MMTで「重力に抗して全可動域動かせる」のはどれか。,1,2,3,4,3,段階3は重力に抗して全可動域動かせる（抵抗は不可）状態です。
118,2024年度,午後,問題 8,リハビリテーション医学,廃用症候群による筋骨格系の変化はどれか。,筋萎縮,心機能低下,褥瘡,深部静脈血栓症,1,使わないことで筋肉が痩せるのが筋萎縮です。
119,2024年度,午後,問題 9,リハビリテーション医学,脳卒中の急性期リハビリテーションの目的で誤っているのはどれか。,廃用症候群の予防,離床の促進,最大能力の発揮,麻痺の完全回復,4,急性期の目的は二次的合併症の予防であり、完全回復は困難なことが多いです。
120,2024年度,午後,問題 10,リハビリテーション医学,ぶん回し歩行の原因はどれか。,膝関節の屈曲制限,足関節の背屈力低下,股関節の伸展制限,すべて含まれる,2,足首を上げる（背屈）力が低下すると、足を外側に回して歩きます。
121,2024年度,午後,問題 11,リハビリテーション医学,脊髄損傷（第6頸髄レベル）で可能な動作はどれか。,自力での立ち上がり,手どいによる食事,完全な自己排尿,階段昇降,2,C6レベルは手首の背屈が可能なため、自助具（手どい）で食事が可能です。
122,2024年度,午後,問題 12,リハビリテーション医学,大腿骨近位部骨折の術後に注意すべきなのはどれか。,股関節の脱臼,血栓性静脈炎,筋力低下,すべて含まれる,4,術後は脱臼、血栓、筋力低下のすべてに十分な注意が必要です。
123,2024年度,午後,問題 13,リハビリテーション医学,脳性麻痺の分類で最も多いのはどれか。,痙直型,アテトーゼ型,失調型,混合型,1,筋肉が突っ張る状態の「痙直型」が最も多いです。
124,2024年度,午後,問題 14,リハビリテーション医学,心不全患者の運動強度の指標はどれか。,最大心拍数,Borg 指数,血圧値,尿量,2,主観的な運動強度を表すBorg指数（ボルグ指数）が指標にされます。
125,2024年度,午後,問題 15,リハビリテーション医学,呼吸困難を軽減する呼吸法はどれか。,口すぼめ呼吸,努力性吸気,胸式呼吸,逆説呼吸,1,口をすぼめてゆっくり吐くと気道内圧が高まり、息苦しさが和らぎます。
126,2024年度,午後,問題 16,リハビリテーション医学,言葉の理解はできるが発話が困難なのはどれか。,感覚性失語,運動性失語,全失語,構音障害,2,ブローカ野の損傷による「運動性失語」の状態です。
127,2024年度,午後,問題 17,リハビリテーション医学,物理療法において、禁忌として正しいのはどれか。,ペースメーカーへの電気療法,体内金属への極超短波,急性炎症への温熱療法,すべて禁忌である,4,これらはいずれも物理療法における代表的な禁忌事項です。
128,2024年度,午後,問題 18,リハビリテーション医学,長下肢装具を示すのはどれか。,AFO,KAFO,HKAFO,FO,2,KAFO（Knee-Ankle-Foot Orthosis）が長下肢装具です。
129,2024年度,午後,問題 19,リハビリテーション医学,車椅子の各部名称において、足を乗せる部分はどれか。,ハンドリム,キャスタ,フットレップ,バックサポート,3,足を乗せる台をフットレップ（フットプレート）と言います。
130,2024年度,午後,問題 20,リハビリテーション医学,介護保険制度において、要介護認定を行うのは誰か。,主治医,ケアマネジャー,市区町村,厚生労働省,3,介護保険の要介護認定の判定・決定を行う主体は市区町村です。
131,2024年度,午後,問題 21,東洋医学概論,陰陽論において「陽」に属するのはどれか。,静止,寒冷,下部,昼,4,昼、温熱、動、外、上昇などは「陽」に属します。
132,2024年度,午後,問題 22,東洋医学概論,五行の「木」に属する五志はどれか。,怒,喜,思,悲,1,木‐怒、火‐喜、土‐思、金‐悲、水‐恐です。
133,2024年度,午後,問題 23,東洋医学概論,五臓の「肺」の生理作用はどれか。,宣発・粛降,蔵血,運化,納気,1,肺は気や津液を全身に散布し（宣発）、下降（粛降）させます。
134,2024年度,午後,問題 24,東洋医学概論,血の作用として正しいのはどれか。,温煦作用,滋潤作用,推動作用,防御作用,2,血（けつ）は全身の組織や器官を潤し、栄養します。
135,2024年度,午後,問題 25,東洋医学概論,営気について正しいのはどれか。,脈外を巡る,昼は体表を巡る,血とともに脈中を巡る,胸中に集まる,3,営気は水穀の精微からなり、血とともに脈中を巡ります。
136,2024年度,午後,問題 26,東洋医学概論,津液の排泄に関与しないのはどれか。,肺,脾,腎,心,4,水分代謝には肺、脾、腎、三焦が関わります。
137,2024年度,午後,問題 27,東洋医学概論,奇恒の腑に含まれるのはどれか。,胃,胆,小腸,膀胱,2,胆は六腑の一つですが、飲食物を伝化しないため奇恒の腑でもあります。
138,2024年度,午後,問題 28,東洋医学概論,腎の働きが低下したときに出やすい症状はどれか。,耳鳴り,鼻づまり,目の充血,口内炎,1,腎は耳に開竅するため、腎虚では耳鳴りが出ます。
139,2024年度,午後,問題 29,東洋医学概論,六淫のうち、百病の長とされるのはどれか。,寒邪,湿邪,風邪,燥邪,3,風邪（ふうじゃ）は他の邪気を引き連れて侵入するため百病の長と言われます。
140,2024年度,午後,問題 30,東洋医学概論,怒りの感情が過度になったときに傷めやすいのはどれか。,心,肝,脾,肺,2,「怒は肝を傷る」とされ、気の昇りすぎを引き起こします。
141,2024年度,午後,問題 31,東洋医学概論,虚実の判断において「虚」の状態はどれか。,邪気が盛ん,正気が不足,血瘀がある,痰飲がある,2,正気（抵抗力）が不足している状態を「虚」と言います。
142,2024年度,午後,問題 32,東洋医学概論,八綱弁証において、病変の性質を示すのはどれか。,表裏,寒熱,虚実,陰陽,2,寒熱は病変の性質（熱いか冷えているか）を示します。
143,2024年度,午後,問題 33,東洋医学概論,舌診において、舌体が白っぽい（淡白舌）のはどれか。,熱証,気血両虚,瘀血,陰虚,2,血や気が不足すると舌の色が薄くなり、淡白舌となります。
144,2024年度,午後,問題 34,東洋医学概論,切診において、指を軽く当てて感じる脈はどれか。,浮脈,沈脈,遅脈,数脈,1,浮脈は体表部に浮いている脈で、病が表にあることを示します。
145,2024年度,午後,問題 35,東洋医学概論,肝気鬱結の症状として正しいのはどれか。,不眠,胸脇部が張って痛む,下痢,多尿,2,肝の疎泄機能が停滞すると、気の通り道である脇などが張ります。
